[GRWM] 겟레디윗미 + 여행 롱웨어 메이크업 팁 l 이사배(Risabae Makeup),https://youtu.be/tllkYP517Vk,28:13:00,885976,2017. 6. 8.,https://img.youtube.com/vi/tllkYP517Vk/0.jpg,,,,,,,,,,,,,,,
[Eng/Thai] 파리에서 했던 메이크업 Makeup in Paris l 이사배(Risabae Makeup),https://youtu.be/UHLNb0nNtCY,18:26,687267,2017. 6. 2.,https://img.youtube.com/vi/UHLNb0nNtCY/0.jpg,인텐시브 스킨 세럼 코렉터 10 라이트피,메이크업포에버 (MAKE UP FOR EVER) 울트라 HD 프레스드 파우더 ,,,,,,,,,,,,,
[Eng/Thai/Jpn] 세포라에서 산 제품으로 메이크업 SEPHORA Cosmetic Items l 이사배 (RISABAE Makeup),https://youtu.be/HQHlz87833o,12:16,318138,2017. 5. 19.,https://img.youtube.com/vi/HQHlz87833o/0.jpg,릴리바이레드 (lilybyred) 스태리 아이즈 슬림 아이라이너 02 매트브라운,,,,,,,,,,,,,,
청순 데일리메이크업 Daily Makeupl 이사배(Risabae Makeup),https://youtu.be/2ts-0xfNsag,15:29,867759,2017. 5. 12.,https://img.youtube.com/vi/2ts-0xfNsag/0.jpg,인스턴트 스킨 인핸서 브라이트,,,,,,,,,,,,,,
[Eng/Thai] 딸기 메이크업 STRAWBERRY MAKE UP l 이사배(Risabae Makeup),https://youtu.be/ZPRZYJZUygU,13:04,508780,2017. 5. 2.,https://img.youtube.com/vi/ZPRZYJZUygU/0.jpg,,,,,,,,,,,,,,,
[Eng/Thai] 캐주얼 스트릿 데일리 메이크업 Casual Street Daily Makeup Tutorial l 이사배(Risabae Makeup),https://youtu.be/hZub-fvbfxI,13:20,1493997,2017. 4. 21.,https://img.youtube.com/vi/hZub-fvbfxI/0.jpg,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),메이크업포에버 (MAKE UP FOR EVER) 울트라 HD 프레스드 파우더 ,,,,,,,,,,,,,
봄 벚꽃 [유튜브편집본] l 이사배(Risabae Makeup),https://youtu.be/p1ZFjzH_sY4,15:36,1141491,2017. 4. 18.,https://img.youtube.com/vi/p1ZFjzH_sY4/0.jpg,,,,,,,,,,,,,,,
[Eng/Thai] 왕간단 기본메이크업 l 이사배(Risabae Makeup),https://youtu.be/pmRrTQwvMwc,15:03,2394033,2017. 4. 4.,https://img.youtube.com/vi/pmRrTQwvMwc/0.jpg,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),메이크업포에버 (MAKE UP FOR EVER) 울트라 HD 프레스드 파우더 ,번째립맥카인더섹시 + 토,,,,,,,,,,,,
[Eng/Thai] 흑장미 메이크업 Dark Rose Makeup Tutorial l 이사배(Risabae Makeup),https://youtu.be/yqcdurX8Vnk,12:40,473021,2017. 3. 31.,https://img.youtube.com/vi/yqcdurX8Vnk/0.jpg,메이크업포에버 (MAKE UP FOR EVER) 울트라 HD 스틱 파운데이션 ,로라메르시에 시크릿 카뮤플라지 SC3(노랗거나 핑크 톤의 보통 피부톤),메이크업포에버 (MAKE UP FOR EVER) 울트라 HD 프레스드 파우더 ,,,,,,,,,,,,
[Eng/Thai] 그리너리 페어리 메이크업 Greenery Fairy Makeup Tutorial l 이사배(Risabae Makeup),https://youtu.be/p-va3brbSp0,12:16,343920,2017. 3. 22.,https://img.youtube.com/vi/p-va3brbSp0/0.jpg,네이처리퍼블릭 보테니컬 케익 아이브로우 1호 카키그레이, 더밤 the Bal,,,,,,,,,,,,,
[Eng/Thai] 봄 진달래메이크업 (눈 2배 키우기!) l 이사배(Risabae Makeup),https://youtu.be/VEbfBG0T9Yo,15:48,1068954,2017. 3. 20.,https://img.youtube.com/vi/VEbfBG0T9Yo/0.jpg,미샤 컬러빔 쉐이더 BR02,Couture touch on your lips Fluid Witching Hour# 블러셔더밤 theBal,,,,,,,,,,,,,
[Eng/Thai/Portuguese] 개강여신 메이크업 선배미뿜뿜! l 이사배(Risabae Makeup),https://youtu.be/jIizJ48yoV0,15:27,777958,2017. 3. 10.,https://img.youtube.com/vi/jIizJ48yoV0/0.jpg,,,,,,,,,,,,,,,
