"베이스, 프라이머, 선크림, 컬러코렉터 추천! | SSIN 씬님",https://youtu.be/fAv_Uj_i05s,16:23,336967,2018. 12. 13.,https://img.youtube.com/vi/fAv_Uj_i05s/0.jpg,더마토리 하이포알러제닉 시카 레스큐 거즈 패드 ,슈에무라 스킨 퍼펙터 미스트 유자 ,피지오겔 피지오겔 로션 ,에스티 로더 (ESTEE LAUDER) 더블웨어 컬러 코렉팅 듀오 그린,에스티 로더 (ESTEE LAUDER) 더블웨어 컬러 코렉팅 듀오 탠저린,아리따움 리얼 앰플 컬러코렉터 4호 피치 베이지,아리따움 포어 마스터 세범 컨트롤 프라이머 ,,,,,,,,,,,,,,,,,,,,,,,,,,
"2018년 존좋 파운데이션, 컨실러 | SSIN 씬님",https://youtu.be/PUZNcgTxfI4,17:24,542665,2018. 12. 19.,https://img.youtube.com/vi/PUZNcgTxfI4/0.jpg,루나 에센스 수분광 팩트 AD [SPF50+/PA+++] 미디엄 베이지,에스쁘아 UHD 누드 리퀴드 파우더 [SPF34/PA++] 페탈,에스쁘아 프로 테일러 파운데이션 비 실크 [SPF34/PA++] 아이보리 P. 페탈 Y,클리오 킬 커버 파운웨어 쿠션 XP [SPF50+/PA+++] 04진저,문샷 마이크로 세팅핏 쿠션 [SPF50+/PA+++] 201 베이지,끌레드뽀 보떼 꼬렉뙤르 비자쥬 [SPF25/PA+++] 아몬드,나스 (NARS) 래디언트 크리미 컨실러 커스터드,나스 (NARS) 소프트 매트 컴플리트 컨실러 마카다미아,메디큐브 (medicube) 레드 컨실러 21호,에스쁘아 테이핑 컨실러 커버업 미디엄 베이지,웨이크메이크 (WAKEMAKE) 디파이닝 커버 컨실러 23호 내추럴 베이지,웨이크메이크 (WAKEMAKE) 디파이닝 커버 컨실러 13호 포슬린,클리오 킬커버 리퀴드 컨실러 004 진저,루나 에센스 수분광 팩트 FX 23호 미디움베이지,,,,,,,,,,,,,,,,,,,
"2018년 마스카라, 브로우 추천 | SSIN 씬님",https://youtu.be/9SrsSfYUbaY,17:02,403433,2018. 12. 22.,https://img.youtube.com/vi/9SrsSfYUbaY/0.jpg,베네피트 (benefit) 프리사이슬리 마이 브로우 펜슬 2 웜 골든 블론드,베네피트 (benefit) 프리사이슬리 마이 브로우 펜슬 3 웜 라이트 브라운,아리따움 아이돌 리얼 래쉬 픽서 ,슈에무라 페탈 래쉬 마스카라 ,바닐라코 서울 폭스테일 워터프루프 마스카라 ,아리따움 매드 피니쉬 브로우 마스카라 3호 애쉬 브라운,아리따움 아이돌 워터프루프 아이펜슬 블랙,릴리바이레드 (lilybyred) 스태리 아이즈 나인투나인 젤 아이라이너 12 월넛브라운,,,,,,,,,,,,,,,,,,,,,,,,,
"2018년 존좋템 쉐딩, 하이라이터, 파우더편",https://youtu.be/Q7aRDgnWwlE,14:09,223031,2018. 12. 30.,https://img.youtube.com/vi/Q7aRDgnWwlE/0.jpg,미샤 터치 온 컨투어 팔레트 ,로라메르시에 매트 레디언스 베이크드 파우더 새틴 하이라이터 ,에스쁘아 컨투어 파우더 라이트 그레이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018년 아이템 추천 | SSIN,https://youtu.be/YgHsXJF2pj8,12:21,417060,2018. 12. 31.,https://img.youtube.com/vi/YgHsXJF2pj8/0.jpg,롬앤 퍼펙트 스타일링 아이팔렛트 ,"아리따움 샤인픽스 아이즈 3. 코코넛 베이
5. 로맨틱플로어",바비 브라운 엑스트라 립 틴트 베어 멜론,아리따움 모노 아이즈 틴트 스틱 No.10 허니시럽,삐아 라스트 벨벳 립 틴트 5 25 막장의 정석,아리따움 틴트 인 워터 01 오 마이 디어,아리따움 엔젤 키스 틴트 02 엔젤누드,메이크힐 (MAKEheal) 에어젯 벨벳립스틱 PK0505 킬링 스마일 로지,에스쁘아 립스틱 노웨어 파워 매트 스트리퍼,에스쁘아 립스틱 노웨어 파워 매트 배드애스,에스쁘아 립스틱 노웨어 파워 매트 퍼펙트씬,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 아리따움 #2 Aritaum Korean one brand makeup | SSIN,https://youtu.be/QZ0yQGlI4iY,14:12,567287,2018. 8. 27.,https://img.youtube.com/vi/QZ0yQGlI4iY/0.jpg,아리따움 모노 아이즈 틴트 스틱 No.15 브라운애비뉴,아리따움 모노 아이즈 틴트 스틱 No.10 허니시럽,아리따움 모노 아이즈 틴트 스틱 No.15 브라운애비뉴,아리따움 모노 아이즈 틴트 스틱 No.10 허니시럽,아리따움 아이돌 리퀴드 라이너 블랙,아리따움 아이돌 리얼 래쉬 픽서 ,아리따움 진저 슈가 틴트 립밤 1호 플레임 로즈,아리따움 쉑쉑 쿠션 블러셔 6호 하트리브레,아리따움 쉑쉑 쿠션 쉐이딩 1호 아몬드조이,아리따움 원더 스테이 스틱 틴트 7호 빈티지레드,아리따움 크림 투 샤인 틴트 미스 선샤인,아리따움 컬러 라이브 틴트 4호 블러쉬 레드,아리따움 컬러 라이브 틴트 10호 워터멜론,아리따움 틴트 인 워터 04 필 소 굿,아리따움 틴트 인 워터 06 본 투 비 핫,아리따움 새틴 펜슬 립라커 나이트탱고,아리따움 유니크 매직 벨벳 필터 틴트 1호 유니크 로즈,아리따움 유니크 매직 벨벳 필터 틴트 5호 레드 파라다이스,아리따움 엔젤 키스 틴트 07 아모르,아리따움 엔젤 키스 틴트 03 미카엘,아리따움 엔젤 키스 틴트 02 엔젤누드,아리따움 엔젤 키스 틴트 09 엔젤리카,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 아리따움 #1 Aritaum Korean one brand makeup | SSIN,https://youtu.be/4eRGT6CNNbw,18:17,865702,2018. 8. 24.,https://img.youtube.com/vi/4eRGT6CNNbw/0.jpg,아리따움 올데이 래스팅 프라이머 ,아리따움 포어마스터 세범 컨트롤 매트젤 ,아리따움 포어마스터 세범 컨트롤 스틱 ,아리따움 포어 마스터 세범 컨트롤 프라이머 ,아리따움 올데이 스포츠 커버 ,아리따움 풀커버 리퀴드 컨실러 4호 샌드베이지,아리따움 풀커버 비비크림 [SPF50+/PA+++] 2호 내추럴 베이지,아리따움 풀커버 파운데이션 [SPF50+/PA+++] 2호 내추럴 베이지,아리따움 올데이 스포츠 커버 ,아리따움 리얼 앰플 컬러코렉터 4호 피치 베이지,아리따움 슈가볼 벨벳 블러셔 02망고플라워,아리따움 매직 컨투어링 하이라이터 글램,아리따움 매직 컨투어링 파우더 딥브라운,아리따움 매직 컨투어링 파우더 탠 브라운,아리따움 애교살 볼류머 듀오 02 샤인베이지,아리따움 매드 피니쉬 가부키 브로우 펜슬 04 애쉬브라운,아리따움 매드 피니쉬 브로우 라커 03 애쉬브라운,아리따움 아이돌 리얼 래쉬 픽서 ,아리따움 아이돌 마스카라 컬업 블랙,아리따움 아이돌 마스카라 롱래쉬 ,아리따움 아이돌 마스카라 볼륨&컬 ,아리따움 매드 피니쉬 브로우 마스카라 3호 애쉬 브라운,아리따움 아이돌 워터프루프 아이펜슬 블랙,아리따움 아이돌 리퀴드 라이너 브라운,,,,,,,,,
로드샵 원브랜드 메이크업 : 에스쁘아 Espoir Korean one brand makeup | SSIN,https://youtu.be/5oOeYzbOmmQ,24:59:00,694546,2018. 7. 6.,https://img.youtube.com/vi/5oOeYzbOmmQ/0.jpg,에스쁘아 프리 페이스 스킨필터 프라이머 [SPF36/PA++] ,에스쁘아 페이스 프라임 실키 피니쉬 ,에스쁘아 스킨 스무딩 글로우라이저 ,에스쁘아 테이핑 컨실러 롱웨어 딥 베이지,에스쁘아 테이핑 컨실러 커버업 미디엄 베이지,에스쁘아 테이핑 컨실러 모이스트업 베이지,에스쁘아 프로 테일러 쿠션 EX [SPF50+/PA+++] 페탈 라이트,에스쁘아 프로 테일러 에센스 쿠션 [SPF50+/PA+++] 페탈,에스쁘아 페이스 슬립 하이드레이팅 컴팩트 아이보리 웜(기존21호),에스쁘아 테이핑 쿠션 [SPF33/PA++] 3 페탈,에스쁘아 프로 테일러 파운데이션 비 글로우 [SPF25/PA++] MEDIUM 3 베이지,에스쁘아 프로 테일러 파운데이션 비 실크 [SPF34/PA++] 아이보리 P. 페탈 Y,에스쁘아 프로테일러 파운데이션 스틱 포슬린,에스쁘아 UHD 누드 리퀴드 파우더 [SPF34/PA++] 페탈,에스쁘아 베어 스킨 부스팅 밤 [SPF33/PA+++] 내추럴,에스쁘아 컨투어 파우더 라이트 그레이,에스쁘아 그라인딩 피니쉬 파우더 톤 코렉트 [SPF32/PA+++] ,에스쁘아 브라우 디자이닝 펜슬 03 시나몬 브라운,에스쁘아 아이섀도우 새틴 진저 브레드,에스쁘아 아이섀도우 새틴 아몬드 라무르,에스쁘아 아이섀도우 익스클루시브 프라이빗아워,에스쁘아 아이섀도우 익스클루시브 매트 컴플렉스,에스쁘아 아이섀도우 시퀸 오렌지피버,에스쁘아 브론즈 페인팅 워터프루프 아이펜슬 페인트 미,에스쁘아 쉐이드 페인팅 워터프루프 아이펜슬 비트 페이커,에스쁘아 브론즈 페인팅 워터프루프 아이펜슬 브룸스트리트,에스쁘아 크로마 페인팅 워터프루프 아이 펜슬 2 초코 로코,에스쁘아 이비자 위켄드 컬렉션 얼티밋 페더 볼륨  마스카라 워터프루프 1호 이비자,에스쁘아 타이트 픽스 마스카라 ,에스쁘아 피그먼트 시퀸 레이버,에스쁘아 올 데이 아이 메이크업 씰러 ,에스쁘아 에스쁘아 블러쉬 딜리셔스,에스쁘아 에스쁘아 블러쉬 딜리셔스
로드샵 원브랜드 메이크업 : 쓰리컨셉아이즈 3CE Korean one brand makeup | SSIN,https://youtu.be/73fUeFCbeX0,17:30,881746,2018. 6. 8.,https://img.youtube.com/vi/73fUeFCbeX0/0.jpg,에스티 로더 (ESTEE LAUDER) 더블웨어 컬러 코렉팅 듀오 탠저린,에스티 로더 (ESTEE LAUDER) 더블웨어 컬러 코렉팅 듀오 그린,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로드샵 원브랜드 메이크업 : 더 페이스샵 The Face Shop Korean one brand makeup | SSIN,https://youtu.be/d1qZVjxmJGc,14:15,1250905,2016. 8. 3.,https://img.youtube.com/vi/d1qZVjxmJGc/0.jpg,더페이스샵 CC 롱래스팅 쿠션 [SPF50+/PA+++] V203,더페이스샵 잉크 립퀴드 OR02 오렌지썸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
