가네보
페이스업 파우더 밀라노 콜렉션 2018 [SPF14/PA+]

자외선차단,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20180108/1515374435200.png
파우더
가드니스가든
페이스 더 데이 선스크린 앤 퍼밍 프라이머 [SPF30]

SPF20-40,수분공급,영양공급,윤기부여,저자극,크림/밀크,피부보호
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20170825/1503653081592.png
베이스프라이머
가브리엘
리퀴드 래디언스

생기부여,윤기부여,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20171025/1508907512512.png
메이크업베이스
가브리엘
아이 프라이머
Neutral, Warm Beige
아이전용,피지조절
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20171025/1508907962501.png
포인트프라이머
가브리엘
듀얼 파우더 파운데이션
Extra Light Beige, Light Beige, Bamboo, Medium Beige, Tan Beige, Deep Beige
피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20170929/1506649269684.png
파운데이션
가브리엘
모이스처라이징 리퀴드 파운데이션
Pale Ivory, Cool Beige, Cream Beige, Warm Beige, Soft Beige, Rose Beige, Natural Beige, True Beige, Tawny, Golden Beige, Almond, Walnut, Classic Tan, Truffle
결보정,리퀴드타입,보습,저자극,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20171025/1508907204315.png
파운데이션
가브리엘
컨실러
Light, Medium, Medium
결보정,저자극,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20171025/1508907745554.png
쿠션타입
갓스킨
포무드 판도라 핑크 쿠션 [SPF37/PA++]

미백증진,윤기부여,자외선차단,주름개선,쿠션타입,파데쿠션,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20171219/1513669644371.png
파운데이션
갓스킨
포무드 판도라 핑크 쿠션 [SPF37/PA++]

미백증진,윤기부여,자외선차단,주름개선,쿠션타입,파데쿠션,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20171219/1513669644371.png
쿠션타입
갓스킨
포무드 판도라 쿠션 블랙 에디션

결보정,피부진정,피부톤보정,스펀지타입
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20170810/1502331408286.png
쿠션타입
강블리(GANGBLY)
동백 커버 컨실러 [SPF30/PA++]
21 햇살 아이보리, 23 달빛 베이지
리퀴드타입,보습,피부톤보정,피지조절
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20190429/1556500297742.png
컨실러
갤럭시본
사틴쿠션 [SPF50+/PA+++]
21호, 23호
미백증진,수분공급,영양공급,자외선차단,주름개선,쿠션타입,파데쿠션
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20181231/1546222350711.png
파운데이션
갤럭시본
사틴쿠션 [SPF50+/PA+++]
21호, 23호
미백증진,수분공급,영양공급,자외선차단,주름개선,쿠션타입,파데쿠션
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20181231/1546222350711.png
쿠션타입
갸마르드
BBB 크림 [SPF20/PA+++]

보습,수분공급,영양공급,저자극,피부진정,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20150413/1428913631359.png
비비크림
거다슈필만
바이오폰드
본품 : 미스테리, 내추럴, 위켄드, 버치," 프러린
미니 : 내추럴",라일락,하이라이터
스틱타입,윤기부여,컴팩트타입,크림타입,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20150526/1432609543541.jpg
파운데이션
게리쏭
타임쉴드 쿠션 팩트 [SPF50+/PA+++]
21호 라이트 베이지, 23호 누드 베이지
미백증진,보습,영양공급,자외선차단,주름개선,파데쿠션
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20190114/1547430909886.png
쿠션타입
겔랑
로르 래디언스 베이스

결보정,보습,수분공급,윤기부여,펄함유,피부진정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20150924/1443079070721.jpg
메이크업베이스
겔랑
블랑 드 펄 UV 베이스 [SPF30/PA+++]

SPF20-40,결보정,미백,펄함유,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20150302/1425261229401.jpg
메이크업베이스
겔랑
블랑 드 펄 화이트 펄 유브이 베이스 라이트닝 [SPF30/PA+++]

자외선차단,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20180227/1519718765297.png
메이크업베이스
겔랑
메테오리트 펄 라이트-퍼펙팅 프라이머-화이트 부스터

밀착력,펄함유,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20140811/1407921198371.jpg
메이크업베이스
겔랑
메테오리트 베이스

결보정,생기부여,펄함유,피부톤보정,피지조절
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20160107/1452145963303.jpg
메이크업베이스
겔랑
메테오리트 베이비 글로우 [SPF25/PA++]

수분공급,윤기부여,자외선차단,피부톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20170126/1485399755877.png
메이크업베이스
겔랑
블러링 액티브 베이스

메이크업베이스겸용,밀착력,튜브형,모공커버
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20170828/1503911515537.png
베이스프라이머
겔랑
메테오리트 펄 라이트 디퓨징 프라이머

결보정,펄함유,피지조절,톤보정
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20140516/1401254201538.jpg
베이스프라이머
겔랑
옹브르 에끌라 아이프라이머

결보정,보습,아이전용,지속력,피부유연
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20140516/1401254114134.jpg
포인트프라이머
겔랑
아이-스테이 프라이머

결보정,아이전용,펄함유
https://d9vmi5fxk1gsw.cloudfront.net/home/glowmee/upload/20170828/1503911884516.png
포인트프라이머
겔랑
